EEID,Status,Age,Gender,Education Level,Hire Date,Termination Date,Termination Type,Termination Reason,Job Information: Date,Division,Department,Supervisor EID,Pay rate,Pay rate - Currency code,Compensation Change Reason,Stock Options,Level,Is Supervisor,Length of service,Length of service: Years
648,Inactive,29,Female,Undergraduate degree (Grado),01 Feb 2016,14 Oct 2016,Voluntary,No details given,01 Feb 2016,Customer Success,,,18400,EUR,Contract change,Y,,No,"1 year, 1 day",1
144,Active,24,Female,Undergraduate degree (Grado),17 May 2019,,,,15 Apr 2021,Finance & Legal,Finance,568,18832,EUR,Merit increase,N,E1,No,"2 years, 11 days",2
488,Inactive,33,Female,Unknown,29 May 2017,09 Mar 2018,Involuntary,Low Performance,29 May 2017,People,,,19200,EUR,,Y,,No,"9 months, 11 days",0
489,Inactive,34,Female,Unknown,17 Jul 2017,28 Oct 2018,Voluntary,Other employment,01 Sep 2018,Home,,,19200,EUR,,Y,,No,"1 year, 3 months, 11 days",1
158,Inactive,31,Male,Unknown,30 Apr 2018,30 Sep 2020,Involuntary,Role no longer needed,07 Sep 2020,People & Home,Home,660,19200,EUR,,N,E1,No,"2 years, 5 months, 0 days",2
359,Inactive,41,Female,Secondary school (ESO),10 Dec 2018,01 Aug 2019,Involuntary,Low Performance,10 Dec 2018,Home,,1,19200,EUR,,Y,,No,"7 months, 22 days",0
155,Active,36,Female,Unknown,01 Dec 2014,,,,15 Apr 2021,People & Home,Home,660,20000,EUR,Merit increase,Y,E1,No,"6 years, 5 months, 27 days",6
487,Inactive,47,Female,Undergraduate degree (Grado),03 Apr 2018,31 Aug 2018,Involuntary,End of contract,03 Apr 2018,People,,,20000,EUR,New hire,N,,No,"4 months, 28 days",0
587,Active,26,Male,Technical degree (FP),20 Apr 2020,,,,15 Apr 2021,Engineering,Corporate,267,20000,EUR,New hire,N,E1,No,"1 year, 1 month, 8 days",1
701,Active,27,Female,Master/Postgraduate,11 Jan 2021,,,,15 Apr 2021,Marketing,Brand Marketing,223,20800,EUR,New hire,N,E1,No,"4 months, 17 days",0
484,Inactive,35,Male,Unknown,14 Mar 2016,31 Aug 2017,Involuntary,Low Performance,14 Mar 2016,Finance,,,21600,EUR,New hire,Y,,No,"1 year, 5 months, 17 days",1
123,Inactive,25,Female,Master/Postgraduate,16 Oct 2019,08 Mar 2020,Voluntary,Personal reasons,16 Oct 2019,People,People Operations,1,21600,EUR,New hire,N,E1,No,"4 months, 23 days",0
539,Active,29,Female,Undergraduate degree (Grado),10 Feb 2020,,,,15 Apr 2021,Customer Success,Customer Support,165,21600,EUR,New hire,N,E2,No,"1 year, 3 months, 18 days",1
581,Active,34,Female,Master/Postgraduate,06 Apr 2020,,,,15 Apr 2021,Design,Product Design,168,21600,EUR,New hire,N,E0,No,"1 year, 1 month, 22 days",1
612,Active,35,Male,Technical degree (FP),02 Jun 2020,,,,15 Apr 2021,Customer Success,Customer Support,165,21600,EUR,New hire,N,E2,No,"11 months, 26 days",0
728,Active,30,Female,Undergraduate degree (Grado),08 Mar 2021,,,,15 Apr 2021,Customer Success,Customer Support,165,21600,EUR,New hire,N,E2,No,"2 months, 20 days",0
344,Inactive,30,Female,Undergraduate degree (Grado),03 Apr 2018,30 Sep 2019,Voluntary,Personal reasons,01 Nov 2018,People,People Experience,276,22400,EUR,,Y,L1,No,"1 year, 5 months, 27 days",1
323,Inactive,25,Female,Unknown,04 Feb 2019,19 Nov 2019,Voluntary,Personal reasons,04 Feb 2019,Finance,Finance Operations,227,22400,EUR,,Y,L2,No,"9 months, 15 days",0
345,Inactive,39,Male,Technical degree (FP),08 Jan 2018,23 Sep 2019,Voluntary,Unhappy with the salary / perks,08 Jan 2018,Customer Success,Customer Support,266,23184,EUR,,Y,L2,No,"1 year, 8 months, 15 days",1
440,Inactive,31,Male,Unknown,21 Jan 2016,25 Nov 2016,Voluntary,Personal reasons,21 Jan 2016,Marketing,Email,,24000,EUR,New hire,Y,,No,"10 months, 4 days",0
157,Inactive,39,Male,Technical degree (FP),17 May 2016,19 Jun 2020,Involuntary,Low Performance,30 Mar 2020,Home,Barception,1,24000,EUR,,Y,E2,No,"4 years, 1 month, 2 days",4
482,Inactive,31,Male,Unknown,30 May 2016,02 May 2017,Voluntary,Unhappy with the manager,30 May 2016,Customer Success,,190,24000,EUR,New hire,Y,,No,"11 months, 3 days",0
337,Inactive,30,Female,Unknown,04 Jul 2016,03 Aug 2018,Voluntary,Personal reasons,01 Mar 2017,Marketing,Brand Marketing,,24000,EUR,,Y,L1,No,"2 years, 30 days",2
171,Active,41,Female,Master/Postgraduate,27 Sep 2017,,,,15 Apr 2021,People & Home,Home,660,24000,EUR,Promotion,N,E2,No,"3 years, 8 months, 1 day",3
204,Inactive,29,Male,Master/Postgraduate,04 Dec 2017,31 Jan 2020,Voluntary,Ready for the next challenge,01 Mar 2019,Marketing,Content,223,24000,EUR,,Y,E1,No,"2 years, 1 month, 27 days",2
324,Inactive,33,Female,Undergraduate degree (Grado),22 Jan 2018,18 Nov 2019,Voluntary,Other employment,01 May 2019,Customer Success,Customer Support,266,24000,EUR,,Y,L2,No,"1 year, 9 months, 27 days",1
156,Active,29,Male,Master/Postgraduate,28 Aug 2018,,,,15 Apr 2021,People & Home,Home,660,24000,EUR,Promotion,Y,E2,No,"2 years, 9 months, 0 days",2
577,Active,26,Female,Undergraduate degree (Grado),20 Apr 2020,,,,15 Apr 2021,People & Home,People Talent,146,24000,EUR,New hire,N,E2,No,"1 year, 1 month, 8 days",1
605,Inactive,29,Female,Master/Postgraduate,18 May 2020,14 Apr 2021,Voluntary,Unhappy with the manager,01 Sep 2020,People & Home,People Talent,146,24000,EUR,New hire,N,E2,No,"10 months, 27 days",0
675,Active,0,Female,Undergraduate degree (Grado),02 Nov 2020,,,,15 Apr 2021,Finance & Legal,Finance,692,24000,EUR,New hire,N,E2,No,"6 months, 26 days",0
748,Active,37,Female,Undergraduate degree (Grado),06 Apr 2021,,,,15 Apr 2021,Customer Success,Customer Support,624,24000,EUR,New hire,N,E2,No,"1 month, 22 days",0
490,Inactive,45,Female,Unknown,03 Aug 2015,18 May 2017,Involuntary,Low Performance,03 Aug 2015,People,,,24800,EUR,,Y,,No,"1 year, 9 months, 15 days",1
491,Inactive,47,Male,Unknown,29 Feb 2016,16 Apr 2019,Involuntary,Low Performance,29 Feb 2016,Home,,,24800,EUR,,Y,,No,"3 years, 1 month, 16 days",3
288,Inactive,27,Female,Unknown,03 Apr 2018,12 Jan 2020,Voluntary,Unhappy with the salary / perks,07 Aug 2019,Marketing,Content,223,24800,EUR,,Y,L1,No,"1 year, 9 months, 9 days",1
742,Active,23,Female,Master/Postgraduate,06 Apr 2021,,,,15 Apr 2021,Marketing,Content,611,24800,EUR,New hire,N,E1,No,"1 month, 22 days",0
753,Active,28,Female,Undergraduate degree (Grado),06 Apr 2021,,,,15 Apr 2021,Design,Creative Design,277,24800,EUR,New hire,N,E2,No,"1 month, 22 days",0
766,Active,26,Female,Undergraduate degree (Grado),17 May 2021,,,,17 May 2021,Customer Success,Community & Learning,312,24800,EUR,New hire,N,E2,No,11 days,0
265,Inactive,29,Female,Undergraduate degree (Grado),01 Apr 2019,02 Apr 2021,Voluntary,Ready for the next challenge,01 Sep 2020,Marketing,Content,223,24864,EUR,Merit increase,N,E1,No,"2 years, 1 day",2
428,Inactive,23,Female,Unknown,02 Jul 2018,24 Aug 2018,Involuntary,End of contract,02 Jul 2018,,,,24960,USD,,N,L0,No,"1 month, 22 days",0
457,Inactive,25,Male,Unknown,17 Sep 2018,17 Dec 2018,Involuntary,End of contract,17 Sep 2018,,,,24960,USD,,N,,No,"3 months, 0 days",0
139,Active,37,Male,Unknown,11 Jun 2018,,,,15 Apr 2021,Business Development,Sales,579,25200,EUR,,Y,E1,No,"2 years, 11 months, 17 days",2
300,Active,27,Male,Undergraduate degree (Grado),19 Aug 2019,,,,15 Apr 2021,Customer Success,Customer Engagement,725,25440,EUR,Merit increase,N,E2,No,"1 year, 9 months, 9 days",1
178,Active,44,Male,Master/Postgraduate,14 Oct 2019,,,,15 Apr 2021,Customer Success,Customer Support,165,25440,EUR,Merit increase,N,E2,No,"1 year, 7 months, 14 days",1
152,Active,25,Female,Undergraduate degree (Grado),11 Nov 2019,,,,15 Apr 2021,Customer Success,Community & Learning,558,25440,EUR,Merit increase,N,E2,No,"1 year, 6 months, 17 days",1
154,Active,33,Male,Unknown,02 Jan 2017,,,,15 Apr 2021,People & Home,Home,660,25600,EUR,Reduce/Increase Working hours,Y,E2,No,"4 years, 4 months, 26 days",4
339,Inactive,28,Female,Unknown,03 Apr 2017,02 Jun 2019,Voluntary,Ready for the next challenge,03 Apr 2017,Marketing,Brand Marketing,,25600,EUR,,Y,L1,No,"2 years, 1 month, 29 days",2
433,Inactive,28,Male,Master/Postgraduate,14 May 2018,09 Apr 2019,Voluntary,Limited career opportunities,15 May 2018,Finance,,,25600,EUR,New hire,Y,L2,No,"10 months, 26 days",0
639,Active,24,Male,Master/Postgraduate,24 Aug 2020,,,,15 Apr 2021,Strategy,Strategy,148,25600,EUR,New hire,N,E1,No,"9 months, 4 days",0
668,Active,30,Female,Undergraduate degree (Grado),21 Sep 2020,,,,15 Apr 2021,Design,Creative Design,614,25840,EUR,New hire,N,E2,No,"8 months, 7 days",0
252,Active,29,Male,Undergraduate degree (Grado),06 Jun 2017,,,,15 Apr 2021,Customer Success,Customer Support,165,25970,EUR,Merit increase,Y,E2,No,"3 years, 11 months, 22 days",3
263,Active,26,Male,Undergraduate degree (Grado),01 Apr 2019,,,,15 Apr 2021,Design,Creative Design,279,26000,EUR,Merit increase,N,E1,No,"2 years, 1 month, 27 days",2
310,Active,31,Female,Undergraduate degree (Grado),06 Dec 2016,,,,15 Apr 2021,Data & Analytics,Insights Enablers,225,26082,EUR,Reduce/Increase Working hours,Y,E2,No,"4 years, 5 months, 22 days",4
463,Inactive,30,Female,Unknown,11 Jan 2016,07 Jan 2019,Voluntary,Ready for the next challenge,15 Feb 2017,Customer Success,Customer Education,,26400,EUR,,Y,L2,No,"2 years, 11 months, 27 days",2
456,Inactive,31,Female,Unknown,02 May 2016,31 Oct 2018,Voluntary,Other employment,02 May 2016,Design,Creative Design,190,26400,EUR,,Y,L2,No,"2 years, 5 months, 29 days",2
441,Inactive,26,Female,Unknown,31 Aug 2016,15 Dec 2017,Voluntary,No details given,31 Aug 2016,Marketing,Marketing Ops,,26400,EUR,,Y,,No,"1 year, 3 months, 15 days",1
402,Inactive,33,Male,Unknown,17 Dec 2018,17 May 2019,Voluntary,Ready for the next challenge,17 Dec 2018,Design,Creative Design,190,26400,EUR,,Y,,No,"5 months, 0 days",0
735,Active,24,Female,Master/Postgraduate,22 Mar 2021,,,,15 Apr 2021,Customer Success,Community & Learning,312,26400,EUR,New hire,N,E2,No,"2 months, 6 days",0
206,Active,27,Male,Master/Postgraduate,01 Oct 2019,,,,15 Apr 2021,Strategy,Strategy,148,26880,EUR,Merit increase,N,E1,No,"1 year, 7 months, 27 days",1
217,Active,29,Male,Master/Postgraduate,15 Oct 2018,,,,17 May 2021,Marketing,SEO,746,27200,EUR,Market adjustment,N,E1,Yes,"2 years, 7 months, 13 days",2
592,Active,25,Male,Undergraduate degree (Grado),20 Apr 2020,,,,15 Apr 2021,Design,Creative Design,277,27200,EUR,New hire,N,E2,No,"1 year, 1 month, 8 days",1
366,Inactive,38,Male,Unknown,12 Sep 2016,09 Aug 2019,Voluntary,Unhappy with the leadership,01 Nov 2018,Customer Success,Customer Support,165,27600,EUR,,Y,L2,No,"2 years, 10 months, 27 days",2
527,Active,33,Male,Undergraduate degree (Grado),09 Dec 2019,,,,15 Apr 2021,Customer Success,Customer Support,165,27720,EUR,Merit increase,N,E2,No,"1 year, 5 months, 19 days",1
357,Inactive,34,Female,Master/Postgraduate,09 Oct 2017,02 Sep 2019,Voluntary,Lack of strategy / direction,09 Oct 2017,Customer Success,Customer Engagement,219,28000,EUR,,Y,L2,No,"1 year, 10 months, 24 days",1
254,Active,34,Female,Undergraduate degree (Grado),03 Apr 2018,,,,15 Apr 2021,Customer Success,Customer Support,266,28000,EUR,Lateral move,Y,E3,No,"3 years, 1 month, 25 days",3
130,Active,46,Female,Master/Postgraduate,08 Jul 2019,,,,15 Apr 2021,People & Home,People Talent,146,28000,EUR,Contract change,N,E2,No,"1 year, 10 months, 20 days",1
153,Inactive,44,Female,Undergraduate degree (Grado),11 Nov 2019,03 Apr 2020,Involuntary,Low Performance,11 Nov 2019,Home,,1,28000,EUR,New hire,N,M1,No,"4 months, 22 days",0
729,Active,29,Female,Master/Postgraduate,22 Mar 2021,,,,15 Apr 2021,Customer Success,Project Management,220,28000,EUR,New hire,N,E2,No,"2 months, 6 days",0
736,Active,26,Female,Undergraduate degree (Grado),06 Apr 2021,,,,15 Apr 2021,Customer Success,Community & Learning,312,28000,EUR,New hire,N,E2,No,"1 month, 22 days",0
751,Active,29,Female,Master/Postgraduate,19 Apr 2021,,,,19 Apr 2021,Finance & Legal,Finance,272,28000,EUR,New hire,N,E2,No,"1 month, 9 days",0
427,Inactive,35,Female,Unknown,18 Jul 2016,07 Sep 2018,Voluntary,Other employment,02 Oct 2017,,,,28248,EUR,,Y,,No,"2 years, 1 month, 20 days",2
273,Active,34,Female,Master/Postgraduate,18 Mar 2019,,,,15 Apr 2021,Customer Success,Community & Learning,312,28248,EUR,Merit increase,N,E2,No,"2 years, 2 months, 10 days",2
493,Inactive,28,Male,Unknown,27 Jun 2016,14 Dec 2018,Voluntary,Other employment,01 Sep 2017,Product,,,28800,EUR,,Y,L1,No,"2 years, 5 months, 17 days",2
172,Inactive,30,Male,Master/Postgraduate,05 Dec 2016,05 Jun 2020,Involuntary,Low Performance,14 Apr 2020,Customer Success,Customer Engagement,220,28800,EUR,Merit increase,Y,E2,No,"3 years, 6 months, 0 days",3
306,Inactive,33,Female,Undergraduate degree (Grado),08 Jul 2019,02 Jan 2020,Voluntary,Unhappy with the job,08 Jul 2019,Engineering,Funnel Health,228,28800,EUR,New hire,N,L1,No,"5 months, 25 days",0
211,Inactive,33,Female,Undergraduate degree (Grado),08 Jul 2019,04 Jan 2021,Voluntary,Limited career opportunities,01 Sep 2020,People & Home,People Talent,146,28800,EUR,Merit increase,N,E2,No,"1 year, 5 months, 27 days",1
624,Active,28,Female,Undergraduate degree (Grado),02 Jun 2020,,,,15 Feb 2021,Customer Success,Customer Support,312,28800,EUR,New hire,N,E2,Yes,"11 months, 26 days",0
316,Active,31,Male,Undergraduate degree (Grado),01 Oct 2015,,,,15 Apr 2021,Design,Creative Design,279,29200,EUR,Merit increase,Y,E2,No,"5 years, 7 months, 27 days",5
253,Active,36,Female,Undergraduate degree (Grado),22 Aug 2016,,,,15 Apr 2021,Customer Success,Customer Support,165,29245,EUR,Merit increase,Y,E3,No,"4 years, 9 months, 6 days",4
338,Inactive,34,Female,Master/Postgraduate,19 Feb 2018,31 Mar 2019,Involuntary,Low Performance,19 Feb 2018,Marketing,Brand Marketing,,29600,EUR,,Y,L2,No,"1 year, 1 month, 12 days",1
203,Inactive,33,Male,Master/Postgraduate,30 Apr 2018,10 Jan 2020,Involuntary,Low Performance,30 Apr 2018,People,People Talent,146,29600,EUR,,Y,L2,No,"1 year, 8 months, 10 days",1
120,Active,28,Female,Undergraduate degree (Grado),06 May 2019,,,,15 Apr 2021,People & Home,People Operations,1,29600,EUR,Merit increase,Y,E2,No,"2 years, 22 days",2
733,Active,26,Female,Undergraduate degree (Grado),22 Mar 2021,,,,15 Apr 2021,Marketing,Content,223,29600,EUR,New hire,N,E2,No,"2 months, 6 days",0
215,Inactive,28,Male,Unknown,04 May 2016,19 Dec 2019,Voluntary,Ready for the next challenge,04 May 2016,Design,Creative Design,190,29621,EUR,,Y,L2,No,"3 years, 7 months, 15 days",3
448,Inactive,37,Female,Unknown,09 May 2016,23 Dec 2018,Voluntary,Personal reasons,01 Mar 2018,Customer Success,Account Management,,29920,EUR,,Y,L3,No,"2 years, 7 months, 14 days",2
477,Inactive,33,Male,Unknown,15 Feb 2016,13 Jan 2017,Voluntary,Other employment,15 Feb 2016,Engineering,Development,,30000,EUR,New hire,Y,,No,"10 months, 27 days",0
453,Inactive,33,Male,Unknown,12 Jan 2015,13 Oct 2017,Voluntary,Other employment,12 Jan 2015,Engineering,Infrastructure,,30400,EUR,,Y,,No,"2 years, 9 months, 1 day",2
391,Inactive,42,Female,Unknown,09 Jan 2017,28 Oct 2018,Voluntary,Other employment,09 Jan 2017,People,,,30400,EUR,,Y,L2,No,"1 year, 9 months, 19 days",1
632,Inactive,36,Female,Technical degree (FP),01 Jul 2020,16 Apr 2021,Voluntary,Ready for the next challenge,14 Apr 2021,Customer Success,Customer Engagement,702,30400,EUR,New hire,N,E2,No,"9 months, 15 days",0
646,Active,35,Female,Master/Postgraduate,13 Jul 2020,,,,15 Apr 2021,Security,Security,507,30400,EUR,New hire,N,E1,No,"10 months, 15 days",0
663,Active,26,Male,Undergraduate degree (Grado),24 Aug 2020,,,,01 Sep 2020,Security,Security,507,30400,EUR,New hire,N,E1,No,"9 months, 4 days",0
673,Active,33,Male,High-school (Bachillerato),02 Nov 2020,,,,15 Apr 2021,Design,Creative Design,504,30400,EUR,New hire,N,E2,No,"6 months, 26 days",0
681,Active,34,Female,Undergraduate degree (Grado),16 Nov 2020,,,,15 Apr 2021,Design,Creative Design,504,30400,EUR,New hire,N,E2,No,"6 months, 12 days",0
214,Active,31,Male,Master/Postgraduate,28 Aug 2017,,,,15 Apr 2021,Marketing,Content,223,30414,EUR,Merit increase,Y,E2,No,"3 years, 9 months, 0 days",3
512,Active,29,Female,Undergraduate degree (Grado),13 Jan 2020,,,,15 Apr 2021,Customer Success,Customer Engagement,702,30784,EUR,Merit increase,N,E2,No,"1 year, 4 months, 15 days",1
505,Active,35,Male,Master/Postgraduate,13 Jan 2020,,,,15 Apr 2021,Customer Success,Customer Engagement,702,30784,EUR,Merit increase,N,E2,No,"1 year, 4 months, 15 days",1
436,Inactive,34,Female,Unknown,13 Jun 2016,04 Nov 2018,Voluntary,Other employment,01 Mar 2018,Design,Product Design,,31200,EUR,,Y,L2,No,"2 years, 4 months, 21 days",2
372,Inactive,32,Male,Unknown,22 Aug 2016,26 Jun 2019,Involuntary,Low Performance,01 Sep 2017,Customer Success,Customer Support,,31200,EUR,,Y,,No,"2 years, 10 months, 4 days",2
162,Active,30,Male,Master/Postgraduate,28 Oct 2019,,,,15 Apr 2021,Data & Analytics,Marketing Insights,731,31200,EUR,,N,E1,No,"1 year, 7 months, 0 days",1
435,Inactive,34,Male,Unknown,06 Nov 2015,06 Oct 2017,Involuntary,Low Performance,06 Nov 2015,Design,Product Design,,32000,EUR,,Y,,No,"1 year, 11 months, 0 days",1
469,Inactive,31,Female,Unknown,15 Feb 2016,28 Oct 2018,Voluntary,Other employment,01 Mar 2018,Customer Success,Customer Support,,32000,EUR,,Y,M1,No,"2 years, 8 months, 13 days",2
386,Inactive,37,Male,Unknown,29 Mar 2016,31 Jul 2017,Voluntary,Other employment,29 Mar 2016,Product,,,32000,EUR,New hire,Y,,No,"1 year, 4 months, 2 days",1
471,Inactive,33,Female,Unknown,28 Nov 2016,24 Jun 2018,Voluntary,Unhappy with the manager,01 Jul 2017,People,,,32000,EUR,,Y,,No,"1 year, 6 months, 26 days",1
141,Active,42,Male,Undergraduate degree (Grado),03 Jul 2017,,,,15 Apr 2021,Business Development,Sales,579,32000,EUR,Promotion,Y,E3,No,"3 years, 10 months, 25 days",3
222,Active,38,Male,Technical degree (FP),05 Feb 2018,,,,15 Apr 2021,Engineering,Corporate,267,32000,EUR,Merit increase,Y,E2,No,"3 years, 3 months, 23 days",3
291,Inactive,44,Male,Undergraduate degree (Grado),14 May 2018,31 Dec 2019,Involuntary,Low Performance,14 May 2018,Finance,Controlling,303,32000,EUR,,Y,L3,No,"1 year, 7 months, 17 days",1
454,Inactive,54,Female,Undergraduate degree (Grado),28 May 2018,31 Dec 2018,Voluntary,Other employment,28 May 2018,Founders,,282,32000,EUR,,Y,L3,No,"7 months, 3 days",0
182,Active,27,Female,Master/Postgraduate,16 Sep 2019,,,,15 Apr 2021,Strategy,Strategy,148,32000,EUR,Promotion,Y,E2,No,"1 year, 8 months, 12 days",1
163,Active,34,Female,Master/Postgraduate,28 Oct 2019,,,,15 Apr 2021,Finance & Legal,Finance,272,32000,EUR,Merit increase,N,E3,No,"1 year, 7 months, 0 days",1
568,Active,28,Male,Undergraduate degree (Grado),03 Mar 2020,,,,15 Apr 2021,Finance & Legal,Finance,692,32000,EUR,New hire,N,E3,Yes,"1 year, 2 months, 25 days",1
613,Active,30,Female,Master/Postgraduate,15 Jun 2020,,,,15 Apr 2021,Design,Product Design,168,32000,EUR,Contract change,N,E2,No,"11 months, 13 days",0
650,Active,30,Male,Master/Postgraduate,10 Aug 2020,,,,15 Apr 2021,Design,Product Design,168,32000,EUR,New hire,N,E2,No,"9 months, 18 days",0
138,Active,36,Female,Master/Postgraduate,19 Oct 2020,,,,15 Apr 2021,Marketing,Paid Marketing,544,32000,EUR,Contract change,Y,E2,No,"2 years, 3 months, 16 days",2
685,Active,31,Female,Master/Postgraduate,11 Jan 2021,,,,15 Apr 2021,Product,Core,567,32000,EUR,New hire,N,E1,No,"4 months, 17 days",0
705,Inactive,37,Female,Undergraduate degree (Grado),08 Feb 2021,21 Mar 2021,Voluntary,Personal reasons,15 Mar 2021,People & Home,People Operations,1,32000,EUR,New hire,N,E2,No,"1 month, 13 days",0
251,Active,38,Male,High-school (Bachillerato),04 Feb 2019,,,,15 Apr 2021,Customer Success,Customer Support,266,32256,EUR,Merit increase,Y,E3,No,"2 years, 3 months, 24 days",2
185,Active,34,Female,Undergraduate degree (Grado),09 Nov 2015,,,,15 Apr 2021,Customer Success,Customer Support,266,32673,EUR,Merit increase,Y,E3,No,"5 years, 6 months, 19 days",5
480,Inactive,40,Male,Unknown,16 Nov 2015,14 Apr 2017,Involuntary,Low Performance,16 Nov 2015,Engineering,,,32800,EUR,,Y,,No,"1 year, 4 months, 28 days",1
371,Inactive,37,Female,Unknown,01 Oct 2018,30 Jun 2019,Involuntary,Low Performance,01 Oct 2018,People,People Operations,276,32800,EUR,,Y,L2,No,"8 months, 29 days",0
208,Active,29,Female,Master/Postgraduate,01 Oct 2019,,,,15 Apr 2021,People & Home,People Talent,146,32800,EUR,Promotion,Y,E3,No,"1 year, 7 months, 27 days",1
423,Inactive,32,Male,Unknown,17 May 2016,14 Apr 2019,Voluntary,Limited career opportunities,17 May 2016,Engineering,Development,,33000,EUR,,Y,L2,No,"2 years, 10 months, 28 days",2
311,Inactive,40,Female,Unknown,22 Aug 2016,07 Apr 2020,Voluntary,Lack of strategy / direction,12 Mar 2018,Customer Success,Customer Support,266,33600,EUR,Merit increase,Y,E3,No,"3 years, 7 months, 16 days",3
326,Inactive,32,Male,Unknown,20 Mar 2017,15 Nov 2019,Voluntary,Ready for the next challenge,01 Mar 2018,Marketing,Content,223,33600,EUR,,Y,L2,No,"2 years, 7 months, 26 days",2
411,Inactive,34,Male,Technical degree (FP),28 Aug 2017,29 Apr 2018,Voluntary,Other employment,28 Aug 2017,Engineering,,,33600,EUR,,Y,L3,No,"8 months, 1 day",0
186,Active,28,Male,Undergraduate degree (Grado),01 Oct 2019,,,,15 Apr 2021,Engineering,R&D,664,34000,EUR,Merit increase,N,E2,No,"1 year, 7 months, 27 days",1
486,Inactive,25,Male,Unknown,05 Dec 2016,08 Mar 2019,Voluntary,Ready for the next challenge,05 Dec 2016,Engineering,Development,,34400,EUR,,Y,L2,No,"2 years, 3 months, 3 days",2
298,Active,26,Female,Undergraduate degree (Grado),06 Feb 2017,,,,15 Apr 2021,Design,Creative Design,504,34400,EUR,Promotion,Y,E3,No,"4 years, 3 months, 22 days",4
331,Inactive,35,Male,Master/Postgraduate,27 Feb 2017,25 Oct 2019,Voluntary,Other employment,01 Mar 2019,Engineering,Infrastructure,270,34400,EUR,,Y,M1,No,"2 years, 7 months, 26 days",2
506,Active,32,Female,Undergraduate degree (Grado),13 Jan 2020,,,,15 Apr 2021,Engineering,Funnel Health,580,34400,EUR,New hire,N,E2,No,"1 year, 4 months, 15 days",1
