year,tournament,start_date,end_date,location,court_surface,prize_money,currency,masters
2017,35th-all-canadian-junior-championships_itf_juniors1,2017-04-10,2017-04-15,CAN,Hard,,,0
2016,israel-f15-futures_itf_procircuit0,2016-10-03,2016-10-09,ISR,Hard,,,25
2017,itf-junior-cap-d'ail_itf_juniors0,2017-04-10,2017-04-15,FRA,Clay,,,0
2016,chinese-taipei-f1-futures_itf_procircuit0,2016-10-10,2016-10-16,TPE,Hard,,,25
2016,colombia-f5-futures_itf_procircuit0,2016-10-10,2016-10-16,COL,Clay,,,25
2017,itf-junior-cap-d'ail_itf_juniors1,2017-04-10,2017-04-15,FRA,Clay,,,0
2002,australia-2_itf_procircuit3,2002-09-23,2002-10-20,AUS,Hard,,,25
2002,australia-2_itf_procircuit0,2002-09-23,2002-10-20,AUS,Hard,,,25
2002,australia-2_itf_procircuit1,2002-09-23,2002-10-20,AUS,Hard,,,25
2002,australia-2_itf_procircuit2,2002-09-23,2002-10-20,AUS,Hard,,,25
1998,germany-f12-futures_itf_procircuit0,1998-07-01,1998-07-05,Germany,Clay,,,25
2017,messika-open-2017_itf_juniors0,2017-04-10,2017-04-15,ISR,Hard,,,0
2016,croatia-f10-futures_itf_procircuit0,2016-10-10,2016-10-16,CRO,Clay,,,25
2016,great-britain-f4-futures_itf_procircuit0,2016-10-24,2016-10-30,GBR,Hard,,,25
2016,czech-republic-f7-futures_itf_procircuit0,2016-10-10,2016-10-16,CZE,Carpet,,,25
2017,messika-open-2017_itf_juniors1,2017-04-10,2017-04-15,ISR,Hard,,,0
2016,ecuador-f1-futures_itf_procircuit0,2016-10-10,2016-10-16,ECU,Clay,,,25
2016,egypt-f28-futures_itf_procircuit0,2016-10-10,2016-10-16,EGY,Hard,,,25
2017,san-michel-international-tournament_itf_juniors0,2017-04-10,2017-04-15,MLT,Hard,,,0
2016,tunisia-f29-futures_itf_procircuit0,2016-10-24,2016-10-30,TUN,Clay,,,25
2016,chinese-taipei-f2-futures_itf_procircuit0,2016-10-17,2016-10-23,TPE,Hard,,,25
2016,colombia-f6-futures_itf_procircuit0,2016-10-17,2016-10-23,COL,Clay,,,25
2017,san-michel-international-tournament_itf_juniors1,2017-04-10,2017-04-15,MLT,Hard,,,0
2016,greece-f7-futures_itf_procircuit0,2016-10-24,2016-10-30,GRE,Hard,,,25
2016,finland-f4-futures_itf_procircuit0,2016-11-14,2016-11-20,FIN,Hard,,,25
2016,italy-f35-futures_itf_procircuit0,2016-10-24,2016-10-30,ITA,Clay,,,25
2017,31º-pascuas-bowl_itf_juniors0,2017-04-10,2017-04-15,PAR,Clay,,,0
2016,norway-f2-futures_itf_procircuit0,2016-10-24,2016-10-30,NOR,Hard,,,25
2017,31º-pascuas-bowl_itf_juniors1,2017-04-10,2017-04-15,PAR,Clay,,,0
2016,spain-f35-futures_itf_procircuit0,2016-10-24,2016-10-30,ESP,Clay,,,25
2016,turkey-f43-futures_itf_procircuit0,2016-10-24,2016-10-30,TUR,Hard,,,25
2016,tunisia-f30-futures_itf_procircuit0,2016-10-31,2016-11-06,TUN,Clay,,,25
2017,itf-junior-tournament-tunisia-5_itf_juniors0,2017-04-10,2017-04-15,TUN,Hard,,,0
2016,vietnam-f8-futures_itf_procircuit0,2016-10-24,2016-10-30,VIE,Hard,,,25
2016,turkey-f47-futures_itf_procircuit0,2016-11-21,2016-11-27,TUR,Hard,,,25
2016,bolivia-f2-futures_itf_procircuit0,2016-11-14,2016-11-20,BOL,Clay,,,25
2016,spain-f38-futures_itf_procircuit0,2016-11-21,2016-11-27,ESP,Hard,,,25
2017,itf-junior-tournament-tunisia-5_itf_juniors1,2017-04-10,2017-04-15,TUN,Hard,,,0
2016,argentina-f12-futures_itf_procircuit0,2016-10-31,2016-11-06,ARG,Clay,,,25
2017,2017-yeongwol-international-junior-championships_itf_juniors0,2017-04-10,2017-04-16,KOR,Hard,,,0
2016,turkey-f44-futures_itf_procircuit0,2016-10-31,2016-11-06,TUR,Hard,,,25
2016,uruguay-f1-futures_itf_procircuit0,2016-11-28,2016-12-04,URU,Clay,,,25
2016,morocco-f7-futures_itf_procircuit0,2016-10-31,2016-11-06,MAR,Clay,,,25
2016,tunisia-f33-futures_itf_procircuit0,2016-11-21,2016-11-27,TUN,Clay,,,25
2016,usa-f35-futures_itf_procircuit0,2016-10-31,2016-11-06,USA,Clay,,,25
2016,norway-f3-futures_itf_procircuit0,2016-10-31,2016-11-06,NOR,Hard,,,25
2016,usa-f39-futures_itf_procircuit0,2016-11-28,2016-12-04,USA,Hard,,,25
2016,uruguay-f2-futures_itf_procircuit0,2016-12-05,2016-12-11,URU,Clay,,,25
2016,chile-f7-futures_itf_procircuit0,2016-12-12,2016-12-18,CHI,Clay,,,25
2016,chile-f8-futures_itf_procircuit0,2016-12-19,2016-12-25,CHI,Clay,,,25
2016,chile-f5-futures_itf_procircuit0,2016-11-28,2016-12-04,CHI,Clay,,,25
2016,germany-f13-futures_itf_procircuit0,2016-10-03,2016-10-09,Germany,Carpet,,,25
2016,germany-f16-futures_itf_procircuit0,2016-10-24,2016-10-30,Germany,Carpet,,,25
2016,turkey-f48-futures_itf_procircuit0,2016-11-28,2016-12-04,TUR,Hard,,,25
2015,china-junior-14-nanjing_itf_juniors1,2015-08-04,2015-08-09,CHN,Hard,,,0
2017,cary_challenger,2017-09-11,2017-09-17,USA,Hard,50000,$,100
2016,lima_challenger,2016-10-24,2016-10-30,Peru,Clay,50000,$,100
2016,hong-kong-f4-futures_itf_procircuit0,2016-12-19,2016-12-25,HKG,Hard,,,25
1998,usa-f8-futures_itf_procircuit0,1998-07-06,1998-07-12,USA,Hard,,,25
2017,speaker-cup-international-junior-championships-2017_itf_juniors1,2017-04-11,2017-04-16,TPE,Clay,,,0
2006,indonesia-f3-futures_itf_procircuit0,2006-08-14,2006-08-20,INA,Hard,,,25
2017,sri-lanka-f1-futures_itf_procircuit0,2017-06-19,2017-06-25,SRI,Clay,,,25
2016,puerto-rico-f1-futures_itf_procircuit0,2016-12-19,2016-12-25,PUR,Hard,,,25
1998,croatia-f3-futures_itf_procircuit0,1998-07-06,1998-07-12,CRO,Clay,,,25
2006,lithuania-f2-futures_itf_procircuit0,2006-08-14,2006-08-20,LTU,Clay,,,25
2017,42nd-city-of-florence_itf_juniors0,2017-04-11,2017-04-17,ITA,Clay,,,0
2017,usa-f1-futures_itf_procircuit0,2017-01-02,2017-01-08,USA,Hard,,,25
1998,denmark-f2-futures_itf_procircuit0,1998-07-06,1998-07-11,DEN,Clay,,,25
2006,poland-f9-futures_itf_procircuit0,2006-08-14,2006-08-20,POL,Clay,,,25
2017,egypt-f13-futures_itf_procircuit0,2017-04-10,2017-04-16,EGY,Hard,,,25
1996,portugal-1-masters_itf_procircuit0,1996-01-05,1996-02-04,POR,Clay,,,25
2017,42nd-city-of-florence_itf_juniors1,2017-04-11,2017-04-17,ITA,Clay,,,0
1996,portugal-1-masters_itf_procircuit1,1996-01-05,1996-02-04,POR,Clay,,,25
1996,portugal-1-masters_itf_procircuit2,1996-01-05,1996-02-04,POR,Clay,,,25
1996,portugal-1-masters_itf_procircuit3,1996-01-05,1996-02-04,POR,Clay,,,25
1998,france-f1-futures_itf_procircuit0,1998-07-06,1998-07-12,FRA,Clay,,,25
2006,romania-f16-futures_itf_procircuit0,2006-08-14,2006-08-20,ROU,Clay,,,25
2017,hong-kong-f6-futures_itf_procircuit0,2017-01-02,2017-01-08,HKG,Hard,,,25
2017,kenana-cup-2017_itf_juniors0,2017-04-12,2017-04-16,BUL,Clay,,,0
1998,austria-f4-futures_itf_procircuit0,1998-07-08,1998-07-12,AUT,Clay,,,25
1996,india-masters_itf_procircuit3,1996-12-30,1996-01-27,IND,Clay,,,25
1996,india-masters_itf_procircuit0,1996-12-30,1996-01-27,IND,Clay,,,25
1996,india-masters_itf_procircuit1,1996-12-30,1996-01-27,IND,Clay,,,25
2017,kenana-cup-2017_itf_juniors1,2017-04-12,2017-04-16,BUL,Clay,,,0
1996,india-masters_itf_procircuit2,1996-12-30,1996-01-27,IND,Clay,,,25
2016,pune_challenger,2016-10-24,2016-10-29,India,Hard,50000,$,100
2017,usa-f2-futures_itf_procircuit0,2017-01-09,2017-01-15,USA,Hard,,,25
2017,spain-f3-futures_itf_procircuit0,2017-01-30,2017-02-05,ESP,Clay,,,25
2017,circuit-itf-junior-d'abidjan_itf_juniors0,2017-04-12,2017-04-16,CIV,Hard,,,0
1998,greece-f7-futures_itf_procircuit0,1998-07-13,1998-07-19,GRE,Clay,,,25
2017,france-f1-futures_itf_procircuit0,2017-01-09,2017-01-15,FRA,Clay,,,25
2017,israel-f7-futures_itf_procircuit0,2017-05-15,2017-05-21,ISR,Hard,,,25
2017,circuit-itf-junior-d'abidjan_itf_juniors1,2017-04-12,2017-04-16,CIV,Hard,,,0
2016,traralgon_challenger,2016-10-24,2016-10-30,Australia,Hard,50000,$,100
2017,tunisia-f1-futures_itf_procircuit0,2017-01-09,2017-01-15,TUN,Clay,,,25
2017,tunisia-f4-futures_itf_procircuit0,2017-01-30,2017-02-05,TUN,Clay,,,25
2017,turkey-f1-futures_itf_procircuit0,2017-01-09,2017-01-15,TUR,Hard,,,25
2017,gallipoli-youth-cup_itf_juniors0,2017-04-17,2017-04-21,AUS,Clay,,,0
2002,italy-7_itf_procircuit1,2002-09-30,2002-10-27,ITA,Clay,,,25
2002,italy-7_itf_procircuit2,2002-09-30,2002-10-27,ITA,Clay,,,25
2002,italy-7_itf_procircuit3,2002-09-30,2002-10-27,ITA,Clay,,,25
2002,italy-7_itf_procircuit0,2002-09-30,2002-10-27,ITA,Clay,,,25
2002,france-f18-futures_itf_procircuit0,2002-09-30,2002-10-06,FRA,Hard,,,25
2017,gallipoli-youth-cup_itf_juniors1,2017-04-17,2017-04-21,AUS,Clay,,,0
2017,kazakhstan-f1-futures_itf_procircuit0,2017-01-23,2017-01-29,KAZ,Hard,,,25
2002,great-britain-f9-futures_itf_procircuit0,2002-09-30,2002-10-06,GBR,Hard,,,25
2017,italy-f14-futures_itf_procircuit0,2017-05-22,2017-05-28,ITA,Clay,,,25
2017,italy-f13-futures_itf_procircuit0,2017-05-15,2017-05-21,ITA,Clay,,,25
2017,great-britain-f3-futures_itf_procircuit0,2017-02-13,2017-02-19,GBR,Hard,,,25
2017,spain-f7-futures_itf_procircuit0,2017-03-13,2017-03-19,ESP,Clay,,,25
2017,tunisia-f10-futures_itf_procircuit0,2017-03-13,2017-03-19,TUN,Clay,,,25
2017,india-f6-futures_itf_procircuit0,2017-03-20,2017-03-26,IND,Clay,,,25
2017,mexico-f4-futures_itf_procircuit0,2017-05-15,2017-05-21,MEX,Hard,,,25
2017,israel-f2-futures_itf_procircuit0,2017-03-20,2017-03-26,ISR,Hard,,,25
2017,spain-f10-futures_itf_procircuit0,2017-04-03,2017-04-09,ESP,Clay,,,25
2017,singapore-f2-futures_itf_procircuit0,2017-05-29,2017-06-04,SGP,Hard,,,25
2017,romania-f1-futures_itf_procircuit0,2017-05-15,2017-05-21,ROU,Clay,,,25
1998,germany-f13-futures_itf_procircuit0,1998-07-08,1998-07-12,Germany,Clay,,,25
2017,thailand-f3-futures_itf_procircuit0,2017-06-19,2017-06-25,THA,Hard,,,25
2017,germany-f1-futures_itf_procircuit0,2017-01-09,2017-01-15,Germany,Carpet,,,25
2017,columbus_challenger,2017-09-18,2017-09-24,USA,Hard,75000,$,100
2017,egypt-f18-futures_itf_procircuit0,2017-06-26,2017-07-02,EGY,Hard,,,25
2017,spain-f21-futures_itf_procircuit0,2017-07-10,2017-07-16,ESP,Clay,,,25
2017,austria-f2-futures_itf_procircuit0,2017-07-10,2017-07-16,AUT,Clay,,,25
2016,canberra_challenger,2016-10-31,2016-11-06,Australia,Hard,50000,$,100
2015,amman-international-tournament-2_itf_juniors0,2015-08-24,2015-08-28,JOR,Hard,,,0
2017,egypt-f20-futures_itf_procircuit0,2017-07-10,2017-07-16,EGY,Hard,,,25
2017,itf-junior-de-saint-francois_itf_juniors0,2017-04-17,2017-04-22,GUD,Hard,,,0
2017,izmir_challenger,2017-09-18,2017-09-24,Turkey,Hard,64000,€,100
2015,amman-international-tournament-2_itf_juniors1,2015-08-24,2015-08-28,JOR,Hard,,,0
2016,charlottesville_challenger,2016-10-31,2016-11-06,USA,Hard,50000,$,100
2017,itf-junior-de-saint-francois_itf_juniors1,2017-04-17,2017-04-22,GUD,Hard,,,0
2017,georgia-f2-futures_itf_procircuit0,2017-07-10,2017-07-16,GEO,Clay,,,25
2006,serbia-&-montenegro-f5-futures_itf_procircuit0,2006-08-14,2006-08-20,SCG,Clay,,,25
1998,spain-f2-futures_itf_procircuit0,1998-07-13,1998-07-19,ESP,Clay,,,25
2017,germany-f7-futures_itf_procircuit0,2017-07-10,2017-07-16,Germany,Clay,,,25
2006,slovak-rep.-f2-futures_itf_procircuit0,2006-08-14,2006-08-20,SVK,Clay,,,25
1998,denmark-f3-futures_itf_procircuit0,1998-07-13,1998-07-19,DEN,Clay,,,25
2017,spain-f22-futures_itf_procircuit0,2017-07-17,2017-07-23,ESP,Clay,,,25
2006,venezuela-f3-futures_itf_procircuit0,2006-08-14,2006-08-20,VEN,Hard,,,25
1998,france-f2-futures_itf_procircuit0,1998-07-13,1998-07-18,FRA,Clay,,,25
2002,chile-f4-futures_itf_procircuit0,2002-09-30,2002-10-06,CHI,Clay,,,25
1998,austria-f5-futures_itf_procircuit0,1998-07-15,1998-07-19,AUT,Clay,,,25
2006,iran-f3-futures_itf_procircuit0,2006-08-21,2006-08-27,IRI,Clay,,,25
2002,spain-f17-futures_itf_procircuit0,2002-09-30,2002-10-06,ESP,Hard,,,25
1998,slovenia-f1-futures_itf_procircuit0,1998-07-15,1998-07-19,SLO,Clay,,,25
2009,usa-f7-futures_itf_procircuit0,2009-03-30,2009-04-05,USA,Hard,,,25
2017,turkey-f26-futures_itf_procircuit0,2017-07-17,2017-07-23,TUR,Clay,,,25
2017,open-itf-junior-d'istres_itf_juniors1,2017-04-17,2017-04-23,FRA,Clay,,,0
2002,great-britain-f10-futures_itf_procircuit0,2002-10-07,2002-10-12,GBR,Hard,,,25
2006,mexico-f13-futures_itf_procircuit0,2006-08-21,2006-08-27,MEX,Clay,,,25
2009,croatia-f4-futures_itf_procircuit0,2009-03-30,2009-04-05,CRO,Clay,,,25
2006,netherlands-f4-futures_itf_procircuit0,2006-08-21,2006-08-27,NED,Clay,,,25
2017,itf/cat-junior-fed.-tun.-de-tennis_itf_juniors0,2017-04-18,2017-04-22,TUN,Hard,,,0
2017,usa-f24-futures_itf_procircuit0,2017-07-17,2017-07-23,USA,Hard,,,25
2017,belgium-f5-futures_itf_procircuit0,2017-07-17,2017-07-23,BEL,Clay,,,25
2017,itf/cat-junior-fed.-tun.-de-tennis_itf_juniors1,2017-04-18,2017-04-22,TUN,Hard,,,0
2017,colombia-f1-futures_itf_procircuit0,2017-07-17,2017-07-23,COL,Hard,,,25
2017,egypt-f21-futures_itf_procircuit0,2017-07-17,2017-07-23,EGY,Hard,,,25
2017,plovdiv-cup-2017_itf_juniors0,2017-04-18,2017-04-23,BUL,Clay,,,0
1996,spain-1-masters_itf_procircuit2,1996-01-05,1996-02-04,ESP,Clay,,,25
1996,spain-1-masters_itf_procircuit3,1996-01-05,1996-02-04,ESP,Clay,,,25
1996,spain-1-masters_itf_procircuit0,1996-01-05,1996-02-04,ESP,Clay,,,25
1996,spain-1-masters_itf_procircuit1,1996-01-05,1996-02-04,ESP,Clay,,,25
2017,france-f16-futures_itf_procircuit0,2017-07-17,2017-07-23,FRA,Clay,,,25
2017,plovdiv-cup-2017_itf_juniors1,2017-04-18,2017-04-23,BUL,Clay,,,0
2017,georgia-f3-futures_itf_procircuit0,2017-07-17,2017-07-23,GEO,Clay,,,25
2017,italy-f22-futures_itf_procircuit0,2017-07-17,2017-07-23,ITA,Clay,,,25
2017,nike-junior-international-nottingham-(week-1)_itf_juniors0,2017-04-18,2017-04-23,GBR,Hard,,,0
2017,lithuania-f1-futures_itf_procircuit0,2017-07-17,2017-07-23,LTU,Clay,,,25
2017,morocco-f1-futures_itf_procircuit0,2017-07-17,2017-07-23,MAR,Clay,,,25
2017,poland-f6-futures_itf_procircuit0,2017-07-17,2017-07-23,POL,Clay,,,25
2017,portugal-f12-futures_itf_procircuit0,2017-07-17,2017-07-23,POR,Hard,,,25
2017,china-f14-futures_itf_procircuit0,2017-07-24,2017-07-30,CHN,Hard,,,25
2017,nike-junior-international-nottingham-(week-1)_itf_juniors1,2017-04-18,2017-04-23,GBR,Hard,,,0
2017,circuit-itf-junior-d'abidjan_itf_juniors0,2017-04-19,2017-04-23,CIV,Hard,,,0
2017,circuit-itf-junior-d'abidjan_itf_juniors1,2017-04-19,2017-04-23,CIV,Hard,,,0
2017,itf/cat-north-africa-tlemcen_itf_juniors0,2017-04-24,2017-04-28,ALG,Clay,,,0
1998,brazil-f1-futures_itf_procircuit0,1998-07-20,1998-07-26,BRA,Clay,,,25
2002,chile-f5-futures_itf_procircuit0,2002-10-07,2002-10-13,CHI,Clay,,,25
2006,poland-f10-futures_itf_procircuit0,2006-08-21,2006-08-27,POL,Clay,,,25
2017,france-f17-futures_itf_procircuit0,2017-07-24,2017-07-30,FRA,Clay,,,25
2017,gran-canaria-yellow-bowl_itf_juniors0,2017-04-24,2017-04-29,ESP,Clay,,,0
2002,dominican-republic-f1-futures_itf_procircuit0,2002-10-07,2002-10-12,DOM,Clay,,,25
2006,brazil-f8-futures_itf_procircuit0,2006-08-21,2006-08-27,BRA,Clay,,,25
2002,france-f19-futures_itf_procircuit0,2002-10-07,2002-10-13,FRA,Carpet,,,25
2017,ireland-f2-futures_itf_procircuit0,2017-07-24,2017-07-30,IRL,Carpet,,,25
2002,greece-f3-futures_itf_procircuit0,2002-10-07,2002-10-12,GRE,Hard,,,25
2017,gran-canaria-yellow-bowl_itf_juniors1,2017-04-24,2017-04-29,ESP,Clay,,,0
2006,bulgaria-f1-futures_itf_procircuit0,2006-08-21,2006-08-27,BUL,Clay,,,25
2002,spain-f18-futures_itf_procircuit0,2002-10-07,2002-10-13,ESP,Hard,,,25
2006,croatia-f4-futures_itf_procircuit0,2006-08-21,2006-08-27,CRO,Clay,,,25
2017,italy-f23-futures_itf_procircuit0,2017-07-24,2017-07-30,ITA,Clay,,,25
2017,tournoi-itf-junior-de-beaulieu-sur-mer_itf_juniors0,2017-04-24,2017-04-30,FRA,Clay,,,0
2006,ecuador-f1-futures_itf_procircuit0,2006-08-21,2006-08-27,ECU,Hard,,,25
2009,egypt-f5-futures_itf_procircuit0,2009-03-30,2009-04-05,EGY,Clay,,,25
2017,spain-f23-futures_itf_procircuit0,2017-07-24,2017-07-30,ESP,Clay,,,25
2009,italy-f5-futures_itf_procircuit0,2009-03-30,2009-04-05,ITA,Clay,,,25
2017,tournoi-itf-junior-de-beaulieu-sur-mer_itf_juniors1,2017-04-24,2017-04-30,FRA,Clay,,,0
1996,central-america-masters_itf_procircuit3,1996-01-13,1996-02-11,PAN,Hard,,,25
1996,central-america-masters_itf_procircuit0,1996-01-13,1996-02-11,PAN,Hard,,,25
1996,central-america-masters_itf_procircuit1,1996-01-13,1996-02-11,PAN,Hard,,,25
1996,central-america-masters_itf_procircuit2,1996-01-13,1996-02-11,PAN,Hard,,,25
2017,usa-f25-futures_itf_procircuit0,2017-07-24,2017-07-30,USA,Hard,,,25
2009,japan-f3-futures_itf_procircuit0,2009-03-30,2009-04-05,JPN,Hard,,,25
2017,nike-junior-international-nottingham-(week-2)_itf_juniors0,2017-04-25,2017-04-30,GBR,Hard,,,0
2017,russia-f4-futures_itf_procircuit0,2017-07-24,2017-07-30,RUS,Hard,,,25
2017,slovakia-f1-futures_itf_procircuit0,2017-07-24,2017-07-30,SVK,Clay,,,25
2017,turkey-f27-futures_itf_procircuit0,2017-07-24,2017-07-30,TUR,Clay,,,25
2017,nike-junior-international-nottingham-(week-2)_itf_juniors1,2017-04-25,2017-04-30,GBR,Hard,,,0
2017,41st-medias-sen-sibiu-junior-itf-tournament_itf_juniors0,2017-04-25,2017-04-30,ROU,Clay,,,0
2017,41st-medias-sen-sibiu-junior-itf-tournament_itf_juniors1,2017-04-25,2017-04-30,ROU,Clay,,,0
2017,"itf-u18-""the-39th-slovakia-cup-2017""_itf_juniors0",2017-04-25,2017-04-30,SVK,Clay,,,0
2006,germany-f13-futures_itf_procircuit0,2006-08-21,2006-08-27,Germany,Clay,,,25
1998,austria-f6-futures_itf_procircuit0,1998-07-20,1998-07-24,AUT,Clay,,,25
2006,finland-f2-futures_itf_procircuit0,2006-08-21,2006-08-27,FIN,Hard,,,25
2017,34th-torneo-internazionale-under-18-di-salsomaggiore-terme_itf_juniors0,2017-05-01,2017-05-07,ITA,Clay,,,0
2002,usa-f25-futures_itf_procircuit0,2002-10-14,2002-10-20,USA,Hard,,,25
1998,france-f3-futures_itf_procircuit0,1998-07-20,1998-07-26,FRA,Clay,,,25
1998,spain-f3-futures_itf_procircuit0,1998-07-20,1998-07-26,ESP,Clay,,,25
2017,34th-torneo-internazionale-under-18-di-salsomaggiore-terme_itf_juniors1,2017-05-01,2017-05-07,ITA,Clay,,,0
2009,turkey-f3-futures_itf_procircuit0,2009-03-30,2009-04-05,TUR,Clay,,,25
2006,italy-f28-futures_itf_procircuit0,2006-08-21,2006-08-27,ITA,Clay,,,25
1998,slovenia-f2-futures_itf_procircuit0,1998-07-22,1998-07-26,SLO,Clay,,,25
2017,skopje-open-2017_itf_juniors0,2017-05-01,2017-05-07,MKD,Clay,,,0
2006,romania-f17-futures_itf_procircuit0,2006-08-21,2006-08-27,ROU,Clay,,,25
2009,korean-rep.-f1-futures_itf_procircuit0,2009-04-06,2009-04-12,KOR,Hard,,,25
2009,russia-f1-futures_itf_procircuit0,2009-04-06,2009-04-12,RUS,Carpet,,,25
2017,skopje-open-2017_itf_juniors1,2017-05-01,2017-05-07,MKD,Clay,,,0
1996,france-2-masters_itf_procircuit2,1996-02-03,1996-03-02,FRA,Clay,,,25
2017,china-junior-7_itf_juniors0,2017-05-02,2017-05-07,CHN,Hard,,,0
2017,italy-f24-futures_itf_procircuit0,2017-07-31,2017-08-06,ITA,Clay,,,25
2017,china-junior-7_itf_juniors1,2017-05-02,2017-05-07,CHN,Hard,,,0
2017,portugal-f14-futures_itf_procircuit0,2017-07-31,2017-08-06,POR,Clay,,,25
1996,great-britain-1-masters_itf_procircuit0,1996-02-05,1996-03-01,GBR,Carpet,,,25
1996,great-britain-1-masters_itf_procircuit1,1996-02-05,1996-03-01,GBR,Carpet,,,25
1996,great-britain-1-masters_itf_procircuit2,1996-02-05,1996-03-01,GBR,Carpet,,,25
2017,itf/cat-north-african-circuit_itf_juniors0,2017-05-08,2017-05-13,MAR,Clay,,,0
1996,great-britain-1-masters_itf_procircuit3,1996-02-05,1996-03-01,GBR,Carpet,,,25
2017,romania-f8-futures_itf_procircuit0,2017-07-31,2017-08-06,ROU,Clay,,,25
2017,turkey-f28-futures_itf_procircuit0,2017-07-31,2017-08-06,TUR,Hard,,,25
2017,itf/cat-north-african-circuit_itf_juniors1,2017-05-08,2017-05-13,MAR,Clay,,,0
2017,usa-f26-futures_itf_procircuit0,2017-07-31,2017-08-06,USA,Hard,,,25
2017,nta-18-&-under-itf-event_itf_juniors0,2017-05-08,2017-05-13,NAM,Hard,,,0
2017,austria-f5-futures_itf_procircuit0,2017-07-31,2017-08-06,AUT,Clay,,,25
2017,belgium-f7-futures_itf_procircuit0,2017-07-31,2017-08-06,BEL,Clay,,,25
2017,colombia-f3-futures_itf_procircuit0,2017-07-31,2017-08-06,COL,Clay,,,25
2017,egypt-f23-futures_itf_procircuit0,2017-07-31,2017-08-06,EGY,Clay,,,25
2017,finland-f1-futures_itf_procircuit0,2017-07-31,2017-08-06,FIN,Clay,,,25
2017,nta-18-&-under-itf-event_itf_juniors1,2017-05-08,2017-05-13,NAM,Hard,,,0
2015,chirimoya-bowl---atv-2015_itf_juniors0,2015-09-07,2015-09-12,CHI,Clay,,,0
2017,enka-itf-junior-cup_itf_juniors0,2017-05-08,2017-05-13,TUR,Hard,,,0
2017,macedonia-f2-futures_itf_procircuit0,2017-07-31,2017-08-06,MKD,Clay,,,25
2002,chile-f6-futures_itf_procircuit0,2002-10-14,2002-10-20,CHI,Clay,,,25
2009,usa-f8-futures_itf_procircuit0,2009-04-06,2009-04-12,USA,Hard,,,25
2017,25th-torneo-internazionale-città-di-prato_itf_juniors1,2017-05-09,2017-05-14,ITA,Clay,,,0
2017,germany-f9-futures_itf_procircuit0,2017-07-31,2017-08-06,Germany,Clay,,,25
2002,cuba-f1-futures_itf_procircuit0,2002-10-14,2002-10-20,CUB,Hard,,,25
2009,croatia-f5-futures---tbc_itf_procircuit0,2009-04-06,2009-04-12,CRO,Clay,,,25
2017,lesotho-itf-junior-open_itf_juniors0,2017-05-15,2017-05-19,LES,Hard,,,0
2002,france-f20-futures_itf_procircuit0,2002-10-14,2002-10-20,FRA,Hard,,,25
2009,egypt-f6-futures_itf_procircuit0,2009-04-06,2009-04-12,EGY,Clay,,,25
2017,lesotho-itf-junior-open_itf_juniors1,2017-05-15,2017-05-19,LES,Hard,,,0
2017,germany-f10-futures_itf_procircuit0,2017-08-07,2017-08-13,Germany,Clay,,,25
2017,latvia-f1-futures_itf_procircuit0,2017-07-31,2017-08-06,LAT,Clay,,,25
2002,jamaica-f16-futures_itf_procircuit0,2002-10-14,2002-10-20,JAM,Hard,,,25
2009,italy-f6-futures_itf_procircuit0,2009-04-06,2009-04-12,ITA,Clay,,,25
2017,"39th-torneo-""città-di-santa-croce""-mauro-sabatini_itf_juniors0",2017-05-15,2017-05-20,ITA,Clay,,,0
2002,france-f21-futures_itf_procircuit0,2002-10-21,2002-10-27,FRA,Hard,,,25
2017,morocco-f3-futures_itf_procircuit0,2017-07-31,2017-08-06,MAR,Clay,,,25
1996,egypt-1-masters_itf_procircuit1,1996-02-10,1996-03-10,EGY,Clay,,,25
2017,poland-f8-futures_itf_procircuit0,2017-07-31,2017-08-06,POL,Clay,,,25
2017,italy-f25-futures_itf_procircuit0,2017-08-07,2017-08-13,ITA,Clay,,,25
2017,"39th-torneo-""città-di-santa-croce""-mauro-sabatini_itf_juniors1",2017-05-15,2017-05-20,ITA,Clay,,,0
2017,usa-f27-futures_itf_procircuit0,2017-08-07,2017-08-13,USA,Hard,,,25
2017,austria-f6-futures_itf_procircuit0,2017-08-07,2017-08-13,AUT,Clay,,,25
1996,phillipines-masters_itf_procircuit3,1996-02-13,1996-03-09,PHI,Hard,,,25
1996,phillipines-masters_itf_procircuit0,1996-02-13,1996-03-09,PHI,Hard,,,25
1996,phillipines-masters_itf_procircuit1,1996-02-13,1996-03-09,PHI,Hard,,,25
1996,phillipines-masters_itf_procircuit2,1996-02-13,1996-03-09,PHI,Hard,,,25
2017,belarus-f1-futures_itf_procircuit0,2017-08-07,2017-08-13,BLR,Hard,,,25
2017,belgium-f8-futures_itf_procircuit0,2017-08-07,2017-08-13,BEL,Clay,,,25
2017,finland-f2-futures_itf_procircuit0,2017-08-07,2017-08-13,FIN,Clay,,,25
2017,ruc-tennis-junior-open_itf_juniors0,2017-05-15,2017-05-20,MAR,Clay,,,0
2017,portugal-f15-futures_itf_procircuit0,2017-08-07,2017-08-13,POR,Clay,,,25
2017,romania-f9-futures_itf_procircuit0,2017-08-07,2017-08-13,ROU,Clay,,,25
2017,ruc-tennis-junior-open_itf_juniors1,2017-05-15,2017-05-20,MAR,Clay,,,0
2017,russia-f6-futures_itf_procircuit0,2017-08-07,2017-08-13,RUS,Clay,,,25
2017,serbia-f1-futures_itf_procircuit0,2017-08-07,2017-08-13,SRB,Clay,,,25
